City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Mana,GF,77.68,scattered clouds,5.6592,-53.7767,LE SAMANA
425,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
444,Kuching,MY,75.2,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
452,Byron Bay,AU,77.0,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
468,Campoverde,PE,79.05,heavy intensity rain,-8.4753,-74.8058,Hospedaje Coral's
469,Lamu,KE,77.58,clear sky,-2.2717,40.902,Lamu House
511,Bage,BR,75.2,clear sky,-31.3314,-54.1069,Hotel Obino - Bagé
514,Maragogi,BR,78.87,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
515,Matnog,PH,79.34,overcast clouds,12.5878,124.0875,RGT Hotel
516,Paka,MY,75.2,overcast clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
522,Tayu,ID,76.95,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
527,Flinders,AU,75.99,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
532,Chemin Grenier,MU,77.0,light rain,-20.4872,57.4656,Shanti Maurice Resort & Spa
536,Bonthe,SL,78.67,clear sky,7.5264,-12.505,Bonthe Holiday Village
557,Alibag,IN,77.0,smoke,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
566,Moranbah,AU,78.53,scattered clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
573,Boa Viagem,BR,77.9,broken clouds,-5.1275,-39.7322,Inn and Steakhouse Aconchego
574,Macrohon,PH,78.93,broken clouds,10.0797,124.9431,Banahaw Creek
575,Bowen,AU,77.0,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
582,Toowoomba,AU,75.2,broken clouds,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
594,Bajil,YE,79.34,clear sky,15.0584,43.2851,شبكة ماكس نت MAX WIFI
596,Phuket,TH,75.2,few clouds,8.0,98.25,The Surin Phuket
600,Mazatlan,MX,78.8,clear sky,23.2167,-106.4167,Hotel Club Playamar
605,Mutata,CO,78.24,moderate rain,7.2441,-76.4356,RESIDENCIA ZULIMA
607,Kantunilkin,MX,78.8,broken clouds,21.0917,-87.45,Posada Paraiso
610,Trairi,BR,77.86,broken clouds,-3.2778,-39.2689,janelas do mar
617,Bubaque,GW,76.12,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
624,Dingle,PH,75.61,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
634,Alto Longa,BR,78.12,light rain,-5.2511,-42.2103,pousada E Restaurante Longá
637,Vallenar,CL,75.36,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
638,Acarau,BR,79.38,overcast clouds,-2.8856,-40.12,castelo pizzaria
656,Isla Mujeres,MX,78.8,broken clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
663,Colomi,BO,77.0,few clouds,-17.35,-65.8667,Residencial EL TURISMO
670,Nagapattinam,IN,76.69,clear sky,10.7667,79.8333,Sathya Lodge
678,Pundaguitan,PH,79.83,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
679,Kolda,SN,78.96,clear sky,12.8833,-14.95,Hôtel Hobbe Chasse
